Shows Name,Release Year,Episodes,Rating,Rating given by people
Stranger Things,2016–2025,42 eps,8.7, (1.4M)
Friday Night Lights,2006–2011,76 eps,8.7, (75K)
The Marvelous Mrs,2017–2023,43 eps,8.7, (148K)
Line of Duty,2012–2021,36 eps,8.7, (74K)
Top Gear,2002–2022,328 eps,8.7, (130K)
1883,2021–2022,10 eps,8.7, (126K)
The Thick of It,2005–2012,24 eps,8.7, (27K)
Behzat Ç: An Ankara Detective Story,2010–2019,105 eps,8.8, (34K)
Sarabhai V/S Sarabhai,2004–2017,79 eps,8.9, (19K)
How to with John Wilson,2020–2023,18 eps,8.7, (15K)
This Is Us,2016–2022,106 eps,8.7, (164K)
Aspirants,2021–,10 eps,9.2, (314K)
Father Ted,1995–1998,25 eps,8.7, (45K)
The Mandalorian,2019–,25 eps,8.6, (608K)
Code Geass,2006–2008,54 eps,8.7, (86K)
House of Cards,2013–2018,73 eps,8.6, (540K)
Parks and Recreation,2009–2015,124 eps,8.6, (297K)
Atlanta,2016–2022,41 eps,8.6, (92K)
The X-Files,1993–2018,217 eps,8.6, (257K)
Deadwood,2004–2006,36 eps,8.6, (121K)
The Crown,2016–2023,60 eps,8.6, (265K)
Dexter,2006–2013,96 eps,8.6, (807K)
Adventure Time,2010–2018,289 eps,8.6, (118K)
Shōgun,2024–2026,12 eps,8.6, (190K)
Ramayan,1987–1988,78 eps,9.0, (25K)
It's a Sin,2021,5 eps,8.6, (38K)
The Bridge,2011–2018,38 eps,8.6, (79K)
Primal,2019–,21 eps,8.7, (23K)
Daredevil,2015–2018,39 eps,8.6, (487K)
Blackadder II,1986,6 eps,8.6, (51K)
Lonesome Dove,1989,4 eps,8.7, (27K)
Mr Inbetween,2018–2021,26 eps,8.7, (36K)
Mindhunter,2017–2019,19 eps,8.6, (355K)
Poirot,1989–2013,70 eps,8.6, (54K)
Haikyu!!,2014–2020,89 eps,8.7, (41K)
The Jinx: The Life and Deaths of Robert Durst,2015–2024,12 eps,8.6, (55K)
